text,label
方用六味地黄汤加味：生熟地各１５ｇ，山药２４ｇ，山茱萸１０ｇ，茯苓１５ｇ，泽泻１０ｇ，沙参１５ｇ，肉桂６ｇ，炙鳖甲１０ｇ，大腹皮１０ｇ，三七参３ｇ，丹参１５ｇ，焦山楂１１ｇ,"{'地黄汤': '方剂', '生熟地': '中药', '山药': '中药', '山茱萸': '中药', '茯苓': '中药', '泽泻': '中药', '沙参': '中药', '肉桂': '中药', '炙鳖甲': '中药', '大腹皮': '中药', '三七参': '中药', '丹参': '中药', '焦山楂': '中药'}"
２个月前患者因情志不遂，加之生活压力突然增大，导致腹泻次数增多，每日３～４次，不成形，腹泻前矢气频频且腹痛较甚，泻后矢气腹痛症状改善，伴纳寐差，精神状态不佳,"{'腹泻': '临床表现', '腹痛': '临床表现', '纳寐差': '临床表现', '精神状态不佳': '临床表现'}"
诊为肝硬化，但腹水检查结果疑有肝癌，已放四次腹水，越来越增多,{'肝硬化': '西医诊断'}
功能性消化不良；柴枳半夏泻心汤；临床症候积分,{'功能性消化不良': '西医诊断'}
黄连、吴茱萸复胃和降之性,"{'黄连': '中药', '吴茱萸': '中药'}"
患者２００２年３月初无明显诱因出现周身浮肿，在当地医院住院治疗，查尿蛋白（＋＋＋＋），红细胞５一６个／高倍视野，２４小时尿蛋白定量１０,{'浮肿': '临床表现'}
柴胡达原饮治疗脾胃湿热型功能性消化不良随机对照试验,"{'柴胡达原饮': '方剂', '脾胃湿热': '中医证候', '功能性消化不良': '西医诊断'}"
蒲公英、金钱草、白花蛇舌草清热解毒，活血利湿,{'清热解毒': '中医治则'}
目的：观察《伤寒论》小陷胸汤合《金匮要略》桂枝茯苓丸治疗胃食管反流病的疗效,"{'小陷胸汤': '方剂', '胃食管反流病': '西医诊断'}"
结论多潘立酮联合柴胡疏肝散对功能性消化不良患者有较好的治疗作用，可显著改善患者餐后瘦素、胃动素、促肾上腺皮质激素释放激素的分泌水平,"{'柴胡疏肝散': '方剂', '功能性消化不良': '西医诊断'}"
理中汤合枳术汤治疗太阴阴结便秘型肠易激综合征临床观察,"{'枳术汤': '方剂', '太阴阴结便秘型肠易激综合征': '西医诊断'}"
厚朴七物汤加减治疗功能性消化不良６２例,{'功能性消化不良': '西医诊断'}
查患者神情抑郁，面色黯滞，舌淡黯，苔白腻，脉弦缓,"{'神情抑郁': '临床表现', '面色黯滞': '临床表现', '苔白腻': '临床表现', '脉弦缓': '临床表现'}"
＂太阳病，过经十余日，反二三下之，柴胡证仍在者，先与小柴胡汤，呕不止，心下急，郁郁微烦者，为未解也，与大柴胡汤下之则愈,{'柴胡': '中药'}
方中桃仁、赤芍活血化瘀，改善微循环,{'桃仁': '中药'}
功能性消化不良；健脾舒肝方；,"{'功能性消化不良': '西医诊断', '健脾舒肝方': '方剂'}"
元参１２克,{'元参': '中药'}
此症选用《金匮要略》当归芍药散加味,{'当归芍药散': '方剂'}
方法：选择１２０例中医辨证属心脾两虚，西医诊断功能性消化不良伴抑郁症者为观察对象，按照临床症状积分法配对分为Ａ组（吗丁啉治疗）、Ｂ组（归脾合剂治疗）、Ｃ组（归脾合剂＋吗丁啉治疗）各４０例，疗程均为８周,"{'抑郁症': '西医诊断', '归脾合剂': '中医治疗'}"
结论：二参三草汤治疗慢性萎缩性胃炎脾虚湿热证有效,"{'二参三草汤': '方剂', '脾虚湿热': '中医证候'}"
结论疏肝理气法治疗功能性消化不良，可加快胃肠排空促进小肠推进，对提高治疗效果及拓宽治疗方法具有积极的临床意义,"{'疏肝理气': '中医治则', '功能性消化不良': '西医诊断'}"
方法将航天中心医院中医科２０１０年１１月至２０１３年１月收治的６０例慢性功能性便秘患者依据随机数字表法分为两组：试验组（３０例）采用自拟补肾健脾通便颗粒治疗，对照组（３０例）采用乳果糖口服溶液治疗,"{'慢性功能性便秘': '西医诊断', '补肾健脾通便颗粒': '中医治疗'}"
微调三号方（ＷＤ－４），含有党参、猪苓、茯苓、茯神、薏苡仁、谷芽、麦芽、炒白术、茯苓、制半夏、枇杷叶、生甘草,"{'茯苓': '中药', '炒白术': '中药', '甘草': '中药'}"
治以益肾清热凉血,{'益肾清热凉血': '中医治则'}
一贯煎合芍药甘草汤加减治疗慢性萎缩性胃炎８８例体会,"{'一贯煎': '方剂', '慢性萎缩性胃炎': '西医诊断'}"
乙肝病史２１年，２年前发现肝硬化，５个月前出现腹水，并逐渐加重，曾在某医院住院治疗，经抽腹水、输入体白蛋白、利尿剂等治疗，腹水曾一度消退,{'腹水': '临床表现'}
２００４年７月２２日三诊：服上药后纳差、乏力进一步减轻，胀痛也减轻，舌暗微红、苔薄略干,"{'纳差': '临床表现', '乏力': '临床表现'}"
其中酸（碱）反流导致的食管黏膜破损称为反流性食管炎,{'反流性食管炎': '西医诊断'}
结论：一贯煎合芍药甘草汤养阴益胃、和中止痛，治疗慢性萎缩性胃炎疗效较为显著,"{'一贯煎': '方剂', '慢性萎缩性胃炎': '西医诊断'}"
因周身水肿反复发作２年，加重１周，于１９９４年３月１８日就诊,{'周身水肿': '临床表现'}
结论：平胃散联合六君子汤，相互作用，在增强疗效的同时可以减少单一方剂引起的不良反应，在治疗慢性萎缩性胃炎方面的疗效明确，安全有效，值得在临床上推广,"{'六君子汤': '方剂', '慢性萎缩性胃炎': '西医诊断'}"
诊断为慢性肝炎活动期，中医辨证为肝郁脾虚，治宜疏肝和胃，健脾、益气、渗湿，佐以活血化瘀,"{'慢性肝炎活动期': '西医诊断', '肝郁脾虚': '中医证候', '疏肝和胃': '中医治则', '健脾': '中医治则', '益气': '中医治则', '渗湿': '中医治则', '活血化瘀': '中医治则'}"
目的：观察中西医结合治疗腹泻型肠易激综合征的临床疗效,{'肠易激综合征': '西医诊断'}
目的观察黄芪建中汤治疗脾胃虚弱型慢性萎缩性胃炎的临床疗效,{'慢性萎缩性胃炎': '西医诊断'}
中医学认为肝硬化发病病机为：肝气郁滞，脾运不健，脉络瘀阻而成,{'肝硬化': '西医诊断'}
功能性肠病；腹泻；便秘；合募俞配穴；盐酸洛哌丁胺胶囊；枸橼酸莫沙必利片；双向调节,{'合募俞配穴': '中医治疗'}
６月６号开始余采用益气升阳、柔肝健脾治疗：炙黄芪、葛根、女贞子各３０ｇ，桂枝５ｇ，干姜１０ｇ，茵陈、牛膝各２０ｇ，肉苁蓉、川芎各１２ｇ，赤芍、茯苓各４０ｇ，山药、白术各１５ｇ，山茱萸２５ｇ，炙甘草８ｇ,"{'益气升阳': '中医治则', '健脾': '中医治则'}"
中医综合疗法治疗非酒精性脂肪肝临床观察,{'非酒精性脂肪肝': '西医诊断'}
目的观察针刺结合莫沙必利分散片治疗功能性便秘的效果，从理论与临床两个方向来探索针刺和莫沙必利分散片治疗功能性便秘的作用机制,"{'针刺': '中医治疗', '功能性便秘': '西医诊断'}"
此属阳黄，热结阳明腑实,"{'阳黄': '中医诊断', '热结阳明腑实': '中医证候'}"
结论：中脘穴操作温通针法为主可以有效改善患者胃肠不适等症状，其治疗脾胃虚寒型慢性萎缩性胃炎疗效优于中脘穴捻转补法,"{'温通针法': '中医治疗', '脾胃虚寒': '中医证候', '萎缩性胃炎': '西医诊断'}"
首诊：呃逆不止，食后尤甚，痰多胸痞，腹部胀痛难忍，腹大如鼓，形体消瘦，表情淡漠，目睛黄染，大便干结，２－３日１行，小便色黄，舌苔水滑白腻，脉滑,"{'痰多胸痞': '临床表现', '腹部胀痛难忍': '临床表现', '腹大如鼓': '临床表现', '形体消瘦': '临床表现', '表情淡漠': '临床表现', '目睛黄染': '临床表现', '小便色黄': '临床表现', '舌苔水滑白腻': '临床表现', '脉滑': '临床表现'}"
祛瘀消积颗粒；慢性萎缩性胃炎；胃镜下中医微观辨证,{'慢性萎缩性胃炎': '西医诊断'}
宽中理气汤；功能性消化不良；胃动素；胃泌素,{'功能性消化不良': '西医诊断'}
结论针刺联合中药口服治疗慢性功能性便秘，通过建立以多层次、立体的治疗方案，从根本上调整了机体阴阳失衡的状态，疗效显著，值得推广,"{'针刺': '中医治疗', '便秘': '中医诊断'}"
枳实１０ｇ,{'枳实': '中药'}
方选小柴胡汤加味,{'小柴胡汤加味': '方剂'}
确诊为“肝炎肝硬化,{'肝炎': '西医诊断'}
该诊：神清，面色苍白，消瘦，腹部膨隆，呃逆连声，频频不止，不欲饮食，脉弦细，舌质淡、苔薄白,{'呃逆': '中医诊断'}
麻仁滋脾丸联合莫沙必利治疗中老年功能性便秘７９例临床观察,{'中老年功能性便秘': '西医诊断'}
梅花灸联合穴位贴敷对脾胃气虚型功能性消化不良患者症状及生活质量的影响,"{'梅花灸': '中医治疗', '穴位贴敷': '中医治疗', '脾胃气虚': '中医证候', '功能性消化不良': '西医诊断'}"
消萎方；康复新；慢性萎缩性胃炎,"{'康复新': '中医治疗', '慢性萎缩性胃炎': '西医诊断'}"
中药三步疗法治疗慢性萎缩性胃炎８６例,{'慢性萎缩性胃炎': '西医诊断'}
这类患者常有动力或感觉异常，与生物－心理－社会等因素和脑肠轴调节障碍有关，属中医“胃脘痛”、“痞满”等范畴,"{'胃脘痛': '中医诊断', '痞满': '中医诊断'}"
延胡索、青木香行气止痛,{'青木香': '中药'}
恶心呕奶则略加半夏、竹茹以和胃降逆,"{'恶心': '临床表现', '半夏': '中药', '竹茹': '中药'}"
分别为便秘电针组（３６例）、便秘药物组（３６例）、腹泻电针组（３０例）、腹泻药物组（３０例）,{'电针': '中医治疗'}
方法：将１１０例确诊为酒精性脂肪肝的患者随机分为对照组与治疗组各５５例，对照组采用自拟降脂方治疗，治疗组在对照组治疗的基础上结合系统的生活方式干预,{'生活方式干预': '其他治疗'}
结果七方胃痛胶囊组治疗肝郁脾虚型功能性消化不良的有效率为８７,"{'七方胃痛胶囊': '中医治疗', '肝郁脾虚': '中医证候', '功能性消化不良': '西医诊断'}"
体检：体温３７°Ｃ，心率１０８次／分，血压１８０／１００毫米汞柱，发育正常，面色苍白，营养欠佳，神志清醒，急性病容，巩膜呈轻度黄疸，肺部无异常，心尖部可听到Ⅰ级收缩期吹风样杂音，腹软，肝在肋下１,"{'面色苍白': '临床表现', '神志清醒': '临床表现', '急性病容': '临床表现', '腹软': '临床表现'}"
化痰活血方加减治疗非酒精性脂肪肝４７例临床观察,"{'化痰活血方加减': '方剂', '非酒精性脂肪肝': '西医诊断'}"
两组都选择双侧的天枢、腹结和上巨虚穴，分别进行电针治疗（电针组）和普通针刺治疗（针刺组），连续治疗４周，治疗５次／周，留针３０ｍｉｎ／次,{'电针治疗': '中医治疗'}
［方法］选取深圳市中医院２０１５年４月——２０１７年８月收治的９２例老年功能性便秘（ＦＣ）患者作为研究对象，并根据随机数字表法分为观察组、对照组各４６例,{'老年功能性便秘': '西医诊断'}
服药５剂，黄疸停止上升，呕吐腹胀减轻,{'黄疸': '中医诊断'}
大黄１０ｇ（后下）,{'大黄': '中药'}
目的探讨运用中药结合心理疏导治疗痞满证肝胃不和型的疗效,"{'心理疏导': '其他治疗', '肝胃不和': '中医证候'}"
功能性消化不良；厌食症；捏脊；推拿,{'推拿': '中医治疗'}
方法：将１２０例非酒精性脂肪肝患者分为治疗组和对照组，治疗组采用当飞利肝宁胶囊加生活干预治疗，对照组只使用当飞利肝宁胶囊治疗，比较两组患者的治疗效果,{'当飞利肝宁胶囊': '中医治疗'}
结论电针配合雷贝拉唑治疗胃食管反流病疗效好，可明显促进ＧＡＳ的分泌,"{'电针': '中医治疗', '胃食管反流病': '西医诊断'}"
反流性食管炎，柴芍六君汤，肝郁脾虚型，中医证候,{'肝郁脾虚': '中医证候'}
舌有瘀斑、苔白腻，脉弱,"{'苔白腻': '临床表现', '脉弱': '临床表现'}"
莫沙必利联合选时穴位按摩与心理治疗对便秘型肠易激综合征的影响,"{'莫沙必利': '西医治疗', '选时穴位按摩': '中医治疗', '便秘型肠易激综合征': '西医诊断'}"
按：此例病人因湿邪残留久羁，蕴积脾胃，使肝木不能疏泄以助脾土，脾土不能化精血以养肝木，久之气滞血瘀肝络，以致肝脏肿大，黄疸指数增高，谷丙转氨酶长期异常，治以活血化瘀、利湿退黄之剂，药中病机，故而痊愈,"{'黄疸': '临床表现', '退黄': '中医治则'}"
１９９７年春，感右胁疼痛，尤在春夏相交之时感觉明显，疲乏无力，纳差，腹满便溏，大便日２～３次，失眠多梦，心慌气短,"{'右胁疼痛': '临床表现', '疲乏无力': '临床表现', '纳差': '临床表现', '腹满便溏': '临床表现', '多梦': '临床表现', '心慌气短': '临床表现'}"
０５），对照组胃脘胀满、嗳气吞酸、喜太息积分治疗前后组内差异有统计学意义（Ｐ＜０,"{'胃脘胀满': '临床表现', '嗳气吞酸': '临床表现', '喜太息': '临床表现'}"
胃萎Ⅰ号冲剂治疗慢性萎缩性胃炎１５５例,{'慢性萎缩性胃炎': '西医诊断'}
４ｋｇ，４～５天后黄疸出现并逐渐加重，面目黄染明显，食欲、二便尚可，无寒热,{'黄疸': '中医诊断'}
参苓白术散联合辛伐他汀治疗非酒精性脂肪性肝病１００例临床研究,{'辛伐他汀': '西医治疗'}
方法将８２例功能性消化不良患者随机分为对照组和治疗组各４２例,{'功能性消化不良': '西医诊断'}
３月７日四诊：双下肢微浮肿，目内眦转红，咽痒，咳嗽少痰，咽红，舌嫩淡红，略胖，苔黄，脉弦数略滑,"{'浮肿': '临床表现', '苔黄': '临床表现'}"
结果针刺安神和胃法可以显著提高患者阈值饮水量和饱足饮水量，并改善患者临床症状，疗效优于非穴点浅刺法,{'安神和胃': '中医治则'}
刻诊：形体消瘦，巩膜及全身黄染，腹痛拒按，食入即吐，面色晦暗，肌肤甲错，皮肤瘙痒，小便赤黄，大便干结，舌质暗红有瘀斑，苔黄腻，脉弦滑而数,"{'形体消瘦': '临床表现', '巩膜及全身黄染': '临床表现', '腹痛拒按': '临床表现', '食入即吐': '临床表现', '面色晦暗': '临床表现', '肌肤甲错': '临床表现', '皮肤瘙痒': '临床表现', '小便赤黄': '临床表现', '大便干结': '临床表现', '舌质暗红有瘀斑': '临床表现', '苔黄腻': '临床表现', '脉弦滑而数': '临床表现'}"
保和丸联合多潘立酮治疗老年功能性消化不良疗效分析,"{'多潘立酮': '西医治疗', '老年功能性消化不良': '西医诊断'}"
日晡时发热，心烦躁动不安，微汗出,"{'日晡时发热': '临床表现', '心烦': '临床表现', '汗出': '临床表现'}"
目的探讨柴胡疏肝散对功能性消化不良患者的临床疗效,"{'柴胡疏肝散': '方剂', '功能性消化不良': '西医诊断'}"
结论开痞活血汤治疗脾胃湿热夹瘀型ＣＡＧ不仅能够改善症状，而且能够减轻并逆转萎缩、肠化等病理变,{'湿热夹瘀': '中医证候'}
结论：加味理中汤联合韦氏整脊手法可通过促进血清胃动素的分泌和抑制胆囊收缩素的分泌，改善功能性消化不良脾胃虚寒证患者的临床症状，从而提高患者的生活质量,"{'韦氏整脊手法': '中医治疗', '脾胃虚寒': '中医证候'}"
慢性咽炎；胃食管反流病；甘桔冰梅片；质子泵抑制剂,{'质子泵抑制剂': '西医治疗'}
因情志不畅加上近日工作压力大致情志失调，忧郁思虑，脾气不运，土虚木乘，升降失职，而成泄泻,{'泄泻': '中医诊断'}
枳术宽中胶囊组予枳术宽中胶囊１,{'枳术宽中胶囊': '中医治疗'}
整脊疗法并谷维素治疗慢性功能性便秘疗效观察,"{'整脊疗法': '中医治疗', '慢性功能性便秘': '西医诊断'}"
对６家研究中心１０１例脾胃虚弱型慢性萎缩性胃炎（ＣＡＧ）患者,"{'脾胃虚弱': '中医证候', '慢性萎缩性胃炎': '西医诊断'}"
方法：符合纳入标准慢性非萎缩性胃炎患者６０例，治疗组３０例，辨证为肝胃不和证予胃炎１号颗粒，脾胃湿热证予胃炎２号颗粒,"{'慢性非萎缩性胃炎': '西医诊断', '肝胃不和': '中医证候', '脾胃湿热': '中医证候'}"
脉滑数，舌质红，苔黄腻,"{'脉滑数': '临床表现', '苔黄腻': '临床表现'}"
入院诊断：慢性重型乙型病毒性肝炎,{'慢性重型乙型病毒性肝炎': '西医诊断'}
反流性食管炎；肝胃不和；胆汁反流；胃宁茶袋泡剂；胃动素；前列腺素Ｅ２,"{'反流性食管炎': '西医诊断', '胃宁茶袋泡剂': '中医治疗'}"
桔梗汤；枳术丸；慢性功能性便秘；乳果糖口服液,"{'枳术丸': '方剂', '慢性功能性便秘': '西医诊断'}"
方法将１０１例经胃镜及病理检查确诊为慢性萎缩性胃炎的患者随机分为治疗组５１例与对照组５０例，治疗组予以中药胃萎方，同时针刺胸７～１２夹脊穴,{'慢性萎缩性胃炎': '西医诊断'}
０１），针刺组降低程度大于艾灸组（ｐ＜０,{'针刺': '中医治疗'}
左金丸；法莫替丁；胃食管反流病,"{'法莫替丁': '西医治疗', '胃食管反流病': '西医诊断'}"
运脾法治疗儿童功能性便秘,{'儿童功能性便秘': '西医诊断'}
胃康安对慢性萎缩性胃炎胃癌前病变患者情志的影响,{'慢性萎缩性胃炎胃癌前病变': '西医诊断'}
慢性萎缩性胃炎作为癌前病变，近年来发病呈逐年递增并趋向年轻化的趋势，因此积极治疗并逆转本病对预防和降低癌病发生率具有非常重要的意义。２００９年１月—２０１１年１月笔者运用消萎方配合康复新治疗慢性萎缩性胃炎患者８６例，疗效较好，现报道如下。,"{'慢性萎缩性胃炎': '西医诊断', '康复新': '中医治疗'}"
宣幽汤合增液汤治疗外感引起阴虚型慢性功能性便秘临床观察,"{'宣幽汤': '方剂', '增液汤': '方剂', '阴虚': '中医证候', '慢性功能性便秘': '西医诊断'}"
结论：中医外治法联合传统西药治疗虚寒型ＦＤ重叠Ｄ－ＩＢＳ临床疗效显著，能明显改善胃肠激素水平，值得临床推广应用．,{'虚寒': '中医证候'}
疏肝健脾方；肝功能；临床症状；非酒精性脂肪肝；治疗组；,"{'疏肝健脾方': '方剂', '非酒精性脂肪肝': '西医诊断'}"
山栀、柴胡、大黄、连翘、黄柏、黄芩、板蓝根、郁金各１０克,"{'山栀': '中药', '柴胡': '中药', '大黄': '中药', '连翘': '中药', '黄柏': '中药', '黄芩': '中药', '板蓝根': '中药', '郁金': '中药'}"
２°Ｃ，巩膜、皮肤黄染，口苦，恶寒，发热，无汗，数天未排大便，脉细无力,"{'巩膜、皮肤黄染': '临床表现', '口苦': '临床表现', '恶寒': '临床表现', '发热': '临床表现', '无汗': '临床表现', '数天未排大便': '临床表现'}"
慢性萎缩性胃炎；针灸；中药；西药；临床疗效,{'慢性萎缩性胃炎': '西医诊断'}
代老用自拟小清肝饮治之，药用：茵陈１５ｇ，败酱草１０ｇ，板蓝根１０ｇ，龙胆草６ｇ，郁金６ｇ，枳壳６ｇ，川木香６ｇ，藿香６ｇ，麦芽６ｇ,"{'自拟小清肝饮': '方剂', '茵陈': '中药', '板蓝根': '中药', '龙胆草': '中药', '郁金': '中药', '枳壳': '中药', '川木香': '中药', '藿香': '中药', '麦芽': '中药'}"
结果：经治疗后，２电针组的周排便次数、大便性状、ＳＡＳ、ＳＤＳ均得到有效改善,{'电针': '中医治疗'}
目的观察柴胡疏肝散联合质子泵抑制剂（ｐｒｏｔｏｎｐｕｍｐｉｎｈｉｂｉｔｏｒｓ，ＰＰＩｓ）治疗胃食管反流病的临床疗效,"{'柴胡疏肝散': '方剂', '质子泵抑制剂': '西医治疗', '胃食管反流病': '西医诊断'}"
气郁日久又导致血运不畅，日久形成癥瘕积聚,{'积聚': '中医诊断'}
目的：观察自拟降脂方结合生活方式干预治疗非酒精性脂肪肝的临床疗效,"{'生活方式干预': '其他治疗', '非酒精性脂肪肝': '西医诊断'}"
结论半夏泻心汤配合针刺能调节胃食管反流病患者血浆ＭＴＬ、ＧＡＳ含量，从而促进食管下括约肌功能的恢复,"{'针刺': '中医治疗', '胃食管反流病': '西医诊断'}"
予对症治疗及大承气汤合泻白散煎服，２ｄ后症状无缓解，并出现腹痛腹胀，继而恶心呕吐,{'大承气汤合泻白散': '方剂'}
胃祺饮加减治疗气虚血瘀型慢性萎缩性胃炎３２例,"{'气虚血瘀': '中医证候', '慢性萎缩性胃炎': '西医诊断'}"
结论：参夏二术汤可显著改善慢性萎缩性胃炎患者症状，具有改善血液黏度及胃黏膜萎缩，阻断癌变的作用,{'参夏二术汤': '方剂'}
功能性消化不良；中西医结合治疗；疏肝健脾,{'功能性消化不良': '西医诊断'}
方法将６２例脾胃湿热型功能性消化不良患者随机分为观察组和对照组,"{'脾胃湿热': '中医证候', '功能性消化不良': '西医诊断'}"
国医大师李佃贵诊治慢性萎缩性胃炎临床经验的数据挖掘,{'慢性萎缩性胃炎': '西医诊断'}
按语：参苓白术散由四君子演变而来，其中四君子健脾补虚，莲子、山药以助四君子健脾益气，且止泻,"{'白术': '中药', '山药': '中药'}"
治疗组取天枢、水道、足三里、上巨虚、大肠俞穴，采用穴位埋线的治疗方法，每２星期治疗１次，共治疗２次,{'穴位埋线': '中医治疗'}
慢性萎缩性胃炎；胃癌前病变；参枳消萎汤；三叶因子３；胃泌素－１７,{'参枳消萎汤': '方剂'}
终因透过现象看本质，抓住虚坐努责，不口渴，所解之便细软，肛门内有物坠感，脉细沉数等症，投以补中益气汤而药到病除,{'补中益气汤': '方剂'}
男性患者，三十二岁，患黄疸已近三月，叠经中西药物治疗，周身黄染大多消退，但目黄仍较明显，惟感心悸不宁，胸膺偶有刺痛感，小溲时黄，大便尚调，舌苔花剥，脉细缓而结代，心电图：窦性心动过缓，室性早搏,"{'黄疸': '中医诊断', '目黄': '临床表现', '心悸': '临床表现', '胸膺偶有刺痛感': '临床表现', '小溲时黄': '临床表现', '苔花剥': '临床表现'}"
祛瘀化痰法治疗萎缩性胃炎伴异型增生３５例,{'萎缩性胃炎伴异型增生': '西医诊断'}
结论：运脾消食汤合多潘立酮治疗脾虚食滞型功能性消化不良临床疗效显著，且可明显改善临床症状,"{'脾虚食滞': '中医证候', '功能性消化不良': '西医诊断'}"
通元温针灸法、通元针刺法和针刺法治疗腹泻型肠易激综合征（肝郁乘脾型）疗效观察,"{'通元针刺法': '中医治疗', '针刺': '中医治疗', '腹泻型肠易激综合征': '西医诊断', '肝郁乘脾': '中医证候'}"
结论对功能性消化不良患者采取针对性护理干预可以有效改善睡眠质量并能够缓解消化系统症状，建议可在各医院的临床治疗中推广应用,{'功能性消化不良': '西医诊断'}
胃炎；萎缩性；慢性病；中药疗法；汤剂；肝胃不和；疏肝；益胃,{'肝胃不和': '中医证候'}
润肠通便方结合推拿治疗慢性功能性便秘８０例,"{'润肠通便方': '方剂', '推拿': '中医治疗', '慢性功能性便秘': '西医诊断'}"
方法：将１８２例２型糖尿病合并非酒精性脂肪肝患者随机分为２组，对照组９１例给予艾塞那肽治疗，研究组９１例在对照组的基础上给予香砂六君子汤治疗，２组均治疗１２周,"{'非酒精性脂肪肝': '西医诊断', '艾塞那肽': '西医治疗'}"
七方胃痛胶囊组、吗叮啉组治疗后１周、４周症状积分、阻抗式胃动力数值较治疗前明显改善，且前者优于后者，有显著差异（Ｐ＜０,{'七方胃痛胶囊': '中医治疗'}
犀角散用于急黄有出血者，水牛角代犀角有凉血止血之效,{'水牛角': '中药'}
结果：实验组患者治疗后的嗳气（０,{'嗳气': '临床表现'}
目的：观察＂三穴三法＂推拿治疗功能性便秘（气滞型）的临床疗效,"{'推拿': '中医治疗', '功能性便秘': '西医诊断', '气滞': '中医证候'}"
湿困中焦，脾阳不振，运化失常，故食少脘闷、腹胀便溏,{'脘闷': '临床表现'}
目的：观察和胃逍遥汤治疗功能性消化不良的临床疗效,{'功能性消化不良': '西医诊断'}
糖尿病；２型；非酒精性脂肪肝；糖脂消；马来酸罗格列酮,{'糖脂消': '中医治疗'}
目的观察半夏泻心汤加减结合复方嗜乳酸杆菌片治疗幽门螺杆菌（Ｈｐ）相关性慢性非萎缩性胃炎（ＣＮＡＧ）的临床疗效,{'复方嗜乳酸杆菌片': '西医治疗'}
目的：观察增液行舟法治疗老年功能性便秘的临床疗效,{'老年功能性便秘': '西医诊断'}
